
Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Sunrise Pharmaceutical, Inc.","732-382-6085 Monday to Friday 9 am to 3:45 pm","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 2.5 mg; 2.5 mg; 2.5 mg; 2.5 mg (NDC 11534-192-01)","Reverified","05/01/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Sunrise Pharmaceutical, Inc.","732-382-6085 Monday to Friday 9 am to 3:45 pm","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.875 mg; 1.875 mg; 1.875 mg; 1.875 mg (NDC 11534-191-01)","Reverified","05/01/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Sunrise Pharmaceutical, Inc.","732-382-6085 Monday to Friday 9 am to 3:45 pm","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 3.125 mg; 3.125 mg; 3.125 mg; 3.125 mg (NDC 11534-193-01)","Reverified","05/01/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Sunrise Pharmaceutical, Inc.","732-382-6085 Monday to Friday 9 am to 3:45 pm","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 3.75 mg; 3.75 mg; 3.75 mg; 3.75 mg (NDC 11534-194-01)","Reverified","05/01/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Sunrise Pharmaceutical, Inc.","732-382-6085 Monday to Friday 9 am to 3:45 pm","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 5 mg; 5 mg; 5 mg; 5 mg (NDC 11534-195-01)","Reverified","05/01/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Sunrise Pharmaceutical, Inc.","732-382-6085 Monday to Friday 9 am to 3:45 pm","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 7.5 mg; 7.5 mg; 7.5 mg; 7.5 mg (NDC 11534-196-01)","Reverified","05/01/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Lannett Company, Inc.","844-834-0530","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg (NDC 0527-0760-37)","Reverified","07/15/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Lannett Company, Inc.","844-834-0530","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.875 mg; 1.875 mg; 1.875 mg; 1.875 mg (NDC 0527-0761-37)","Reverified","07/15/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Lannett Company, Inc.","844-834-0530","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 2.5 mg; 2.5 mg; 2.5 mg; 2.5 mg (NDC 0527-1502-37)","Reverified","07/15/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Lannett Company, Inc.","844-834-0530","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 3.125 mg; 3.125 mg; 3.125 mg; 3.125 mg (NDC 0527-0763-37)","Reverified","07/15/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Lannett Company, Inc.","844-834-0530","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 3.75 mg; 3.75 mg; 3.75 mg; 3.75 mg (NDC 0527-0764-37)","Reverified","07/15/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Lannett Company, Inc.","844-834-0530","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 5 mg; 5 mg; 5 mg; 5 mg (NDC 0527-1505-37)","Reverified","07/15/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Lannett Company, Inc.","844-834-0530","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 7.5 mg; 7.5 mg; 7.5 mg; 7.5 mg (NDC 0527-0766-37)","Reverified","07/15/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Aurobindo Pharma USA","(866) 850-2876 or CustomerService@AurobindoUSA.com","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg (NDC 13107-068-01)","Revised","01/31/2024","Estimated availability: September 2024","","","Shortage of an active ingredient","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Aurobindo Pharma USA","(866) 850-2876 or CustomerService@AurobindoUSA.com","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.875 mg; 1.875 mg; 1.875 mg; 1.875 mg (NDC 13107-069-01)","Revised","01/31/2024","Estimated availability: September 2024","","","Shortage of an active ingredient","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Aurobindo Pharma USA","(866) 850-2876 or CustomerService@AurobindoUSA.com","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 2.5 mg; 2.5 mg; 2.5 mg; 2.5 mg (NDC 13107-070-01)","Revised","01/31/2024","Estimated availability: September 2024","","","Shortage of an active ingredient","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Aurobindo Pharma USA","(866) 850-2876 OR CustomerService@AurobindoUSA.com","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 3.75 mg; 3.75 mg; 3.75 mg; 3.75 mg (NDC 13107-072-01)","Revised","01/31/2024","Estimated availability: September 2024","","","Shortage of an active ingredient","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Aurobindo Pharma USA","(866) 850-2876 or CustomerService@AurobindoUSA.com","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 5 mg; 5 mg; 5 mg; 5 mg (NDC 13107-073-01)","Revised","01/31/2024","Estimated availability: September 2024","","","Shortage of an active ingredient","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Aurobindo Pharma USA","(866) 850-2876 OR CustomerService@AurobindoUSA.com","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 7.5 mg; 7.5 mg; 7.5 mg; 7.5 mg (NDC 13107-074-01)","Revised","01/31/2024","Estimated availability: September 2024","","","Shortage of an active ingredient","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Granules Pharmaceuticals Inc.","877-770-3183","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg (NDC 70010-111-01)","Reverified","07/23/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Granules Pharmaceuticals Inc.","877-770-3183","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.875 mg; 1.875 mg; 1.875 mg; 1.875 mg (NDC 70010-112-01)","Reverified","07/23/2024","Unavailable","Estimated availability: July 2024","","Shortage of an active ingredient","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Granules Pharmaceuticals Inc.","877-770-3183","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 2.5 mg; 2.5 mg; 2.5 mg; 2.5 mg (NDC 70010-113-01)","Reverified","07/23/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Granules Pharmaceuticals Inc.","877-770-3183","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 3.125 mg; 3.125 mg; 3.125 mg; 3.125 mg (NDC 70010-114-01)","Reverified","07/23/2024","Unavailable","Estimated availability: July 2024","","Shortage of an active ingredient","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Granules Pharmaceuticals Inc.","877-770-3183","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 3.75 mg; 3.75 mg; 3.75 mg; 3.75 mg (NDC 70010-115-01)","Reverified","07/23/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Granules Pharmaceuticals Inc.","877-770-3183","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 5 mg; 5 mg; 5 mg; 5 mg (NDC 70010-116-01)","Reverified","07/23/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Granules Pharmaceuticals Inc.","877-770-3183","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 7.5 mg; 7.5 mg; 7.5 mg; 7.5 mg (NDC 70010-117-01)","Reverified","07/23/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","USPHARMA WINDLAS","855-257-0292","Tablet, 1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg (NDC 72516-016-01)","Reverified","07/15/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","USPHARMA WINDLAS","855-257-0292","Tablet, 2.5 mg; 2.5 mg; 2.5 mg; 2.5 mg (NDC 72516-014-01)","Reverified","07/15/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","USPHARMA WINDLAS","855-257-0292","Tablet, 3.75 mg; 3.75 mg; 3.75 mg; 3.75 mg (NDC 72516-013-01)","Reverified","07/15/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","USPHARMA WINDLAS","855-257-0292","Tablet, 5 mg; 5 mg; 5 mg; 5 mg (NDC 72516-012-01)","Reverified","07/15/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","USPHARMA WINDLAS","855-257-0292","Tablet, 7.5 mg; 7.5 mg; 7.5 mg; 7.5 mg (NDC 72516-011-01)","Reverified","07/15/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Sandoz Inc.","800-525-8747","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 7.5 mg; 7.5 mg; 7.5 mg; 7.5 mg (NDC 0185-2099-01)","Reverified","07/19/2024","Limited Availability","","","Shortage of an active ingredient","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Sandoz Inc.","800-525-8747","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 5 mg; 5 mg; 5 mg; 5 mg (NDC 0185-0853-01)","Reverified","07/19/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Sandoz Inc.","800-525-8747","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 2.5 mg; 2.5 mg; 2.5 mg; 2.5 mg (NDC 0185-0842-01)","Reverified","07/19/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Sandoz Inc.","800-525-8747","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg (NDC 0185-2098-01)","Reverified","07/19/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Adderall, Tablet, 2.5 mg; 2.5 mg; 2.5 mg; 2.5 mg (NDC 57844-110-01)","Reverified","07/19/2024","Available","Teva is manufacturing and distributing consistent with historic levels. We continue to see unprecedented demand.","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Adderall, Tablet, 3.125 mg; 3.125 mg; 3.125 mg; 3.125 mg (NDC 57844-112-01)","Reverified","07/19/2024","Available","Estimated recovery September 2024

Teva is manufacturing and distributing consistent with historic levels. We continue to see unprecedented demand.","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Adderall, Tablet, 3.75 mg; 3.75 mg; 3.75 mg; 3.75 mg (NDC 57844-115-01)","Reverified","07/19/2024","Available","Teva is manufacturing and distributing consistent with historic levels. We continue to see unprecedented demand.","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Adderall, Tablet, 5 mg; 5 mg; 5 mg; 5 mg (NDC 57844-120-01)","Reverified","07/19/2024","Available","Teva is manufacturing and distributing consistent with historic levels. We continue to see unprecedented demand.","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Adderall, Tablet, 7.5 mg; 7.5 mg; 7.5 mg; 7.5 mg (NDC 57844-130-01)","Reverified","07/19/2024","Available","Teva is manufacturing and distributing consistent with historic levels. We continue to see unprecedented demand.","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
